iter	Passed	Remaining
0	163	162908
1	164	82103
2	166	55185
3	167	41670
4	168	33626
5	170	28220
6	171	24361
7	173	21484
8	174	19228
9	175	17409
10	177	15927
11	178	14683
12	179	13633
13	180	12733
14	181	11940
15	182	11242
16	183	10629
17	184	10082
18	185	9586
19	186	9137
20	187	8725
21	187	8352
22	188	8018
23	189	7706
24	190	7418
25	190	7145
26	191	6891
27	191	6656
28	192	6435
29	192	6231
30	193	6039
31	193	5859
32	194	5690
33	194	5531
34	195	5380
35	195	5237
36	196	5102
37	196	4974
38	196	4854
39	197	4741
40	198	4632
41	198	4528
42	198	4427
43	199	4332
44	199	4241
45	200	4154
46	200	4070
47	201	3991
48	201	3914
49	202	3840
50	202	3769
51	203	3702
52	203	3638
53	204	3575
54	204	3514
55	205	3456
56	205	3399
57	205	3345
58	206	3292
59	206	3241
60	207	3191
61	207	3143
62	208	3098
63	208	3053
64	209	3009
65	209	2967
66	210	2926
67	210	2883
68	210	2844
69	211	2806
70	211	2770
71	212	2735
72	212	2701
73	213	2667
74	213	2634
75	214	2602
76	214	2571
77	214	2540
78	215	2511
79	215	2482
80	216	2454
81	216	2426
82	217	2399
83	217	2373
84	217	2345
85	218	2321
86	218	2295
87	219	2272
88	219	2248
89	220	2225
90	220	2203
91	221	2181
92	221	2160
93	221	2139
94	222	2118
95	222	2098
96	223	2078
97	223	2059
98	224	2040
99	224	2022
100	225	2003
101	225	1983
102	225	1966
103	226	1950
104	226	1933
105	227	1916
106	227	1900
107	228	1884
108	228	1868
109	229	1853
110	229	1838
111	229	1823
112	230	1808
113	230	1793
114	231	1779
115	231	1764
116	232	1751
117	232	1737
118	232	1723
119	233	1710
120	233	1698
121	234	1685
122	234	1671
123	234	1658
124	235	1646
125	235	1634
126	236	1623
127	236	1610
128	236	1599
129	237	1588
130	237	1577
131	238	1566
132	238	1555
133	239	1545
134	239	1534
135	239	1524
136	240	1514
137	240	1504
138	241	1494
139	241	1485
140	242	1475
141	242	1466
142	243	1457
143	243	1448
144	244	1439
145	244	1430
146	244	1421
147	245	1412
148	245	1404
149	246	1395
150	246	1387
151	247	1378
152	247	1370
153	248	1362
154	248	1354
155	248	1346
156	249	1339
157	249	1331
158	250	1324
159	251	1317
160	251	1311
161	252	1304
162	252	1297
163	253	1290
164	253	1284
165	254	1277
166	254	1270
167	255	1264
168	255	1258
169	256	1251
170	256	1244
171	257	1238
172	257	1231
173	258	1225
174	258	1219
175	259	1212
176	259	1206
177	259	1200
178	260	1194
179	260	1188
180	260	1180
181	261	1175
182	261	1169
183	262	1163
184	262	1157
185	263	1151
186	263	1146
187	264	1141
188	265	1137
189	265	1131
190	265	1126
191	266	1120
192	266	1115
193	267	1110
194	267	1105
195	268	1100
196	268	1094
197	269	1089
198	269	1084
199	270	1080
200	270	1075
201	271	1071
202	271	1066
203	272	1061
204	272	1056
205	272	1051
206	273	1047
207	273	1042
208	274	1037
209	274	1033
210	275	1028
211	275	1024
212	275	1019
213	276	1015
214	276	1010
215	277	1006
216	277	1002
217	278	998
218	278	994
219	279	990
220	279	985
221	280	981
222	280	977
223	281	973
224	281	969
225	281	965
226	282	961
227	282	957
228	283	953
229	283	949
230	284	945
231	284	941
232	285	938
233	285	934
234	285	930
235	286	926
236	286	923
237	287	919
238	287	915
239	288	912
240	288	908
241	288	905
242	289	901
243	289	898
244	290	894
245	290	891
246	291	887
247	291	884
248	292	880
249	292	877
250	292	874
251	293	870
252	293	867
253	294	864
254	294	861
255	295	858
256	295	855
257	296	852
258	296	848
259	297	845
260	297	842
261	298	839
262	298	836
263	299	834
264	299	831
265	300	828
266	300	825
267	301	822
268	301	819
269	301	816
270	302	813
271	302	810
272	303	807
273	303	804
274	304	801
275	304	799
276	305	796
277	305	793
278	305	790
279	306	787
280	306	785
281	307	782
282	307	779
283	308	776
284	308	774
285	309	771
286	309	769
287	310	766
288	310	763
289	310	761
290	311	758
291	311	756
292	312	753
293	312	751
294	313	748
295	314	747
296	315	746
297	316	746
298	317	744
299	318	742
300	318	739
301	319	737
302	319	735
303	320	733
304	320	730
305	321	728
306	321	725
307	322	723
308	322	721
309	322	718
310	323	716
311	323	714
312	324	712
313	324	709
314	325	707
315	325	705
316	326	702
317	326	700
318	327	698
319	327	696
320	328	694
321	328	691
322	328	689
323	329	687
324	329	685
325	330	683
326	330	680
327	331	678
328	331	676
329	332	674
330	332	672
331	333	670
332	333	667
333	333	665
334	334	663
335	334	661
336	335	659
337	335	657
338	336	655
339	336	653
340	337	651
341	337	649
342	337	647
343	338	645
344	338	643
345	339	641
346	339	639
347	340	637
348	340	635
349	341	633
350	341	631
351	342	631
352	343	629
353	344	628
354	344	626
355	345	624
356	345	623
357	346	621
358	347	619
359	347	617
360	348	616
361	348	614
362	349	612
363	349	611
364	350	609
365	350	607
366	351	605
367	351	603
368	351	601
369	352	600
370	352	598
371	353	596
372	354	595
373	354	593
374	355	592
375	355	590
376	356	588
377	356	587
378	357	585
379	357	584
380	358	582
381	359	580
382	359	579
383	360	577
384	360	576
385	361	574
386	361	572
387	362	571
388	362	569
389	363	568
390	363	566
391	364	564
392	364	562
393	364	561
394	365	559
395	365	557
396	366	556
397	366	554
398	367	553
399	367	551
400	368	549
401	368	548
402	369	546
403	369	545
404	370	543
405	370	542
406	371	541
407	371	539
408	372	537
409	372	536
410	373	534
411	373	533
412	374	531
413	374	530
414	374	528
415	375	527
416	375	525
417	376	523
418	376	522
419	377	520
420	377	519
421	378	517
422	378	516
423	379	514
424	379	513
425	379	511
426	380	510
427	380	509
428	381	507
429	381	506
430	382	504
431	382	503
432	383	501
433	383	500
434	384	498
435	384	497
436	385	496
437	385	494
438	386	493
439	386	491
440	386	490
441	387	489
442	387	487
443	388	486
444	388	484
445	389	483
446	389	482
447	390	480
448	390	479
449	390	477
450	391	476
451	391	475
452	392	473
453	392	472
454	393	471
455	393	469
456	394	468
457	394	466
458	395	465
459	395	464
460	395	462
461	396	461
462	396	460
463	397	459
464	397	457
465	398	456
466	398	455
467	399	453
468	399	452
469	400	451
470	400	450
471	401	448
472	401	447
473	402	446
474	403	445
475	403	444
476	404	443
477	405	442
478	405	441
479	405	439
480	406	438
481	406	437
482	407	435
483	407	434
484	408	433
485	408	432
486	408	430
487	409	429
488	409	428
489	410	427
490	410	425
491	411	424
492	411	423
493	412	422
494	412	420
495	412	419
496	413	418
497	413	417
498	414	415
499	414	414
500	415	413
501	415	412
502	416	411
503	416	410
504	417	408
505	417	407
506	417	406
507	418	405
508	418	404
509	419	402
510	419	401
511	420	400
512	420	399
513	421	398
514	421	397
515	422	395
516	422	394
517	423	393
518	423	392
519	424	391
520	424	390
521	424	389
522	425	387
523	425	386
524	426	385
525	426	384
526	427	383
527	427	382
528	428	381
529	428	380
530	429	379
531	429	377
532	430	376
533	430	375
534	431	374
535	431	373
536	432	372
537	432	371
538	432	370
539	433	369
540	433	368
541	434	366
542	434	365
543	435	364
544	435	363
545	436	362
546	436	361
547	436	360
548	437	359
549	437	358
550	438	357
551	438	356
552	439	355
553	439	353
554	440	352
555	440	351
556	441	350
557	441	349
558	441	348
559	442	347
560	442	346
561	443	345
562	443	344
563	444	343
564	445	342
565	445	341
566	446	340
567	446	339
568	447	338
569	447	337
570	447	336
571	448	335
572	448	334
573	449	333
574	449	332
575	450	331
576	450	330
577	451	329
578	451	328
579	452	327
580	452	326
581	452	325
582	453	324
583	453	323
584	454	322
585	454	321
586	455	320
587	455	319
588	456	318
589	456	317
590	457	316
591	457	315
592	458	314
593	458	313
594	459	312
595	459	311
596	460	310
597	460	309
598	461	308
599	461	307
600	461	306
601	462	305
602	462	304
603	463	303
604	463	302
605	464	301
606	464	300
607	464	299
608	465	298
609	465	297
610	466	296
611	466	295
612	467	294
613	467	293
614	468	292
615	468	292
616	468	291
617	469	290
618	469	289
619	470	288
620	470	287
621	471	286
622	471	285
623	472	284
624	472	283
625	473	282
626	474	281
627	474	281
628	475	280
629	475	279
630	476	278
631	476	277
632	477	276
633	477	275
634	478	275
635	478	274
636	479	273
637	479	272
638	480	271
639	480	270
640	481	269
641	481	268
642	482	267
643	482	266
644	482	265
645	483	264
646	483	264
647	484	263
648	484	262
649	485	261
650	485	260
651	486	259
652	486	258
653	487	257
654	487	256
655	488	255
656	488	255
657	488	254
658	489	253
659	489	252
660	490	251
661	490	250
662	491	249
663	491	248
664	492	247
665	492	247
666	493	246
667	493	245
668	493	244
669	494	243
670	494	242
671	495	241
672	495	240
673	496	240
674	496	239
675	497	238
676	497	237
677	498	236
678	498	235
679	498	234
680	499	233
681	499	233
682	500	232
683	500	231
684	501	230
685	501	229
686	502	228
687	502	227
688	503	227
689	503	226
690	504	225
691	504	224
692	504	223
693	505	222
694	506	222
695	506	221
696	506	220
697	507	219
698	507	218
699	508	217
700	508	216
701	509	216
702	509	215
703	510	214
704	510	213
705	510	212
706	511	211
707	511	211
708	512	210
709	512	209
710	513	208
711	513	207
712	513	206
713	514	206
714	514	205
715	515	204
716	515	203
717	516	202
718	516	201
719	517	201
720	517	200
721	517	199
722	518	198
723	518	197
724	519	196
725	519	196
726	520	195
727	520	194
728	521	193
729	521	192
730	522	192
731	522	191
732	523	190
733	523	189
734	523	188
735	524	188
736	524	187
737	525	186
738	525	185
739	526	184
740	526	184
741	527	183
742	527	182
743	528	181
744	528	180
745	528	180
746	529	179
747	530	178
748	530	177
749	531	177
750	531	176
751	532	175
752	532	174
